-,SSPP,APhilA,WPhilA,APsychA
Urban.WM,0,1,0,1
Washburn.MF,0,1,0,1
Weir.EE,1,0,0,0
Wenley.RM,0,1,0,1
Wilde.NP,0,0,1,1
Williams.HH,1,0,0,0
Williams.RD,1,0,0,0
Wissler.C,0,0,0,1
Witmer.L,0,0,0,1
Wolfe.HK,0,0,1,1
Woodbridge.FJE,0,1,1,0
Woodworth.RS,0,1,0,1
